"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Use this request to capture a collector token into collectorToken.","19","POST Login Collector","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","","01 - Auth","",""
"Use this request to capture an admin token into adminToken and managementToken.","21","POST Login Admin","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","","01 - Auth","",""
"Enterprise task statistics.","11","GET Task Stats","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Bulk update reward rules.","13","PUT Reward Rules","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Total reward points for the current citizen.","14","GET Rewards Total","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","","06 - Citizen API","",""
"Admin or Enterprise report list. Set managementToken to the token of the role you want to use.","19","GET All Reports","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","Management Reports","03 - Reports","",""
"Paginated reward point history.","15","GET Rewards History","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","","06 - Citizen API","",""
"List the current citizen reports.","26","GET My Reports","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","Citizen Reports","03 - Reports","",""
"Update the current citizen profile.","13","PUT Profile","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","","06 - Citizen API","",""
"Escalate a complaint to admin.","14","POST Escalate Complaint","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","Citizen Complaints","04 - Complaints","",""
"Update a collector profile.","14","PUT Update Collector","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","failed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Admin user analytics.","13","GET Analytics Users","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","failed","Sun May 24 11:08:18 UTC 2026","","10 - Admin API","",""
"Admin report analytics.","14","GET Analytics Reports","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","failed","Sun May 24 11:08:18 UTC 2026","","10 - Admin API","",""
"Mark one notification as read.","14","PUT Mark Notification Read","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","","05 - Notifications","",""
"Admin complaint list with filters.","14","GET All Complaints","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","Admin Complaints","04 - Complaints","",""
"Move task to OnTheWay.","12","PUT Set On The Way","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","08 - Collector Tasks","",""
"Create a report as a Citizen. Upload at least one image if the backend requires it.","24","POST Create Report","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","Citizen Reports","03 - Reports","",""
"Enterprise available reports list.","15","GET Enterprise Available Reports","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","Management Reports","03 - Reports","",""
"Get all categories and accepted category IDs.","15","GET Waste Types","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Public reference data for report creation and enterprise waste-type setup.","31","GET All Categories","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","","02 - Waste Categories","",""
"Fetch a complaint by ID.","14","GET Complaint Detail","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","Citizen Complaints","04 - Complaints","",""
"Leaderboard filtered by district and ward.","33","GET Leaderboard by Area","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","","06 - Citizen API","",""
"Complaint list visible to enterprise/admin.","12","GET Enterprise Complaints","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Update accepted waste categories.","16","PUT Waste Types","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Get one task progress.","12","GET Task Progress","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Register a new citizen account. The email is timestamped to avoid duplicates.","689","POST Register Citizen","WastePlatform API - Professional QA Suite","Sun May 24 11:08:16 UTC 2026","passed","Sun May 24 11:08:16 UTC 2026","","01 - Auth","",""
"Admin user list with filters.","36","GET Users","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","10 - Admin API","",""
"Approve a report as Enterprise or Admin.","16","POST Accept Report","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","Management Reports","03 - Reports","",""
"Get detailed task information.","12","GET Task By ID","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","failed","Sun May 24 11:08:18 UTC 2026","","08 - Collector Tasks","",""
"List the current citizen notifications.","15","GET Notifications","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","","05 - Notifications","",""
"Reject a complaint as admin.","18","POST Reject Complaint","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","Admin Complaints","04 - Complaints","",""
"Resolve a complaint as admin.","14","POST Resolve Complaint","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","Admin Complaints","04 - Complaints","",""
"Assign a collector to a task. Use managementToken if you want admin access, or enterpriseToken for enterprise flows.","13","PUT Assign Collector","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Get current enterprise profile and accepted waste types.","14","GET Enterprise Profile","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","passed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Fetch a single report by ID.","16","GET Report By ID","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","passed","Sun May 24 11:08:17 UTC 2026","Citizen Reports","03 - Reports","",""
"List tasks assigned to the current collector.","14","GET My Tasks","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","failed","Sun May 24 11:08:18 UTC 2026","","08 - Collector Tasks","",""
"Smoke test. Keep this request green on every deployment.","474","GET Health","WastePlatform API - Professional QA Suite","Sun May 24 11:08:14 UTC 2026","passed","Sun May 24 11:08:14 UTC 2026","","00 - Smoke & Public","",""
"List reward rules for the enterprise.","14","GET Reward Rules","WastePlatform API - Professional QA Suite","Sun May 24 11:08:18 UTC 2026","failed","Sun May 24 11:08:18 UTC 2026","","09 - Enterprise API","",""
"Get unread notification count for the current citizen.","15","GET Unread Count","WastePlatform API - Professional QA Suite","Sun May 24 11:08:17 UTC 2026","failed","Sun May 24 11:08:17 UTC 2026","","05 - Notifications","",""
"Public analytics endpoint. No auth required.","1016","GET Public Analytics Reports","WastePlatform API - Professional QA Suite","Sun May 24 11:08:14 UTC 2026","passed","Sun May 24 11:08:15 UTC 2026","","00 - Smoke & Public","",""
