"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get detailed task information.","11","GET Task By ID","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","failed","Sun May 24 01:45:23 UTC 2026","","08 - Collector Tasks","",""
"Complaint list visible to enterprise/admin.","11","GET Enterprise Complaints","WastePlatform API - Professional QA Suite","Sun May 24 01:45:24 UTC 2026","passed","Sun May 24 01:45:24 UTC 2026","","09 - Enterprise API","",""
"Complete a task and upload proof images if required.","11","PUT Complete Task","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","passed","Sun May 24 01:45:23 UTC 2026","","08 - Collector Tasks","",""
"Admin waste analytics.","13","GET Analytics Waste","WastePlatform API - Professional QA Suite","Sun May 24 01:45:24 UTC 2026","failed","Sun May 24 01:45:24 UTC 2026","","10 - Admin API","",""
"Dashboard user stats.","61","GET User Stats","WastePlatform API - Professional QA Suite","Sun May 24 01:45:24 UTC 2026","failed","Sun May 24 01:45:24 UTC 2026","","10 - Admin API","",""
"Change a user's role.","11","PATCH Update User Role","WastePlatform API - Professional QA Suite","Sun May 24 01:45:24 UTC 2026","passed","Sun May 24 01:45:24 UTC 2026","","10 - Admin API","",""
"Admin report analytics.","12","GET Analytics Reports","WastePlatform API - Professional QA Suite","Sun May 24 01:45:24 UTC 2026","failed","Sun May 24 01:45:24 UTC 2026","","10 - Admin API","",""
"Public analytics endpoint. No auth required.","1043","GET Public Analytics Reports","WastePlatform API - Professional QA Suite","Sun May 24 01:45:20 UTC 2026","passed","Sun May 24 01:45:21 UTC 2026","","00 - Smoke & Public","",""
"Reject a report as Enterprise or Admin.","13","POST Reject Report","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","passed","Sun May 24 01:45:23 UTC 2026","Management Reports","03 - Reports","",""
"Move task to OnTheWay.","11","PUT Set On The Way","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","passed","Sun May 24 01:45:23 UTC 2026","","08 - Collector Tasks","",""
"Admin complaint list with filters.","15","GET All Complaints","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","failed","Sun May 24 01:45:23 UTC 2026","Admin Complaints","04 - Complaints","",""
"Overall admin analytics dashboard.","11","GET Analytics Overview","WastePlatform API - Professional QA Suite","Sun May 24 01:45:24 UTC 2026","failed","Sun May 24 01:45:24 UTC 2026","","10 - Admin API","",""
"Approve a report as Enterprise or Admin.","14","POST Accept Report","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","passed","Sun May 24 01:45:23 UTC 2026","Management Reports","03 - Reports","",""
"List collectors belonging to the enterprise.","13","GET Collectors","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","failed","Sun May 24 01:45:23 UTC 2026","","09 - Enterprise API","",""
"Reject a complaint as admin.","12","POST Reject Complaint","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","passed","Sun May 24 01:45:23 UTC 2026","Admin Complaints","04 - Complaints","",""
"Admin enterprise detail view.","10","GET Enterprise Detail","WastePlatform API - Professional QA Suite","Sun May 24 01:45:24 UTC 2026","failed","Sun May 24 01:45:24 UTC 2026","","10 - Admin API","",""
"Use this to inspect available roles before registering users.","26","GET Roles","WastePlatform API - Professional QA Suite","Sun May 24 01:45:21 UTC 2026","passed","Sun May 24 01:45:21 UTC 2026","","01 - Auth","",""
"Public reference data for report creation and enterprise waste-type setup.","31","GET All Categories","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","passed","Sun May 24 01:45:23 UTC 2026","","02 - Waste Categories","",""
"List tasks assigned to the current collector.","12","GET My Tasks","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","failed","Sun May 24 01:45:23 UTC 2026","","08 - Collector Tasks","",""
"Fetch a complaint by ID.","13","GET Complaint Detail","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","failed","Sun May 24 01:45:23 UTC 2026","Citizen Complaints","04 - Complaints","",""
"Enterprise available reports list.","14","GET Enterprise Available Reports","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","failed","Sun May 24 01:45:23 UTC 2026","Management Reports","03 - Reports","",""
"Fetch a single report by ID.","13","GET Report By ID","WastePlatform API - Professional QA Suite","Sun May 24 01:45:23 UTC 2026","passed","Sun May 24 01:45:23 UTC 2026","Citizen Reports","03 - Reports","",""
"Admin enterprise list with filters.","13","GET Enterprises","WastePlatform API - Professional QA Suite","Sun May 24 01:45:24 UTC 2026","failed","Sun May 24 01:45:24 UTC 2026","","10 - Admin API","",""
